County,Date,Tree Coverage Loss,Avg Temp,Avg Precipitation,Ozone,Nitrogen Dioxide,Floods,Wildfire
Alameda,2001,60,59.6,22.27,0.087,0.04,0,0
Alameda,2002,15,59,18.34,0.106,0.04,2,0
Alameda,2003,62,59.7,16.43,0.094,0.035,0,0
Alameda,2004,69,59.6,18.35,0.08,0.034,0,0
Alameda,2005,36,59.4,24.52,0.09,0.034,1,0
Alameda,2006,46,59,21.35,0.101,0.037,1,0
Alameda,2007,17,58.9,11.57,0.091,0.035,0,0
Alameda,2008,15,59.1,14.18,0.11,0.037,0,0
Alameda,2009,18,59,17.32,0.086,0.029,2,0
Alameda,2010,16,58.3,23.17,0.097,0.031,1,0
Alameda,2011,13,57.9,14.53,0.084,0.032,0,0
Alameda,2012,69,59.3,20.78,0.09,0.029,1,0
Alameda,2013,6,59.5,5.08,0.077,0.03,0,0
Alameda,2014,57,62,19.88,0.08,0.034,4,0
Alameda,2015,9,61.1,10.39,0.081,0.024,1,0
Alameda,2016,18,60.4,22.55,0.085,0.02,2,0
Alameda,2017,22,60.5,24.97,0.086,0.029,20,0
Alameda,2018,5,59.8,16.57,0.078,0.036,17,0
Alameda,2019,14,59.7,22.29,0.078,0.027,28,9
Alameda,2020,63,61.7,8.42,0.077,0.026,12,7
Contra Costa,2001,75,60.5,22.8,0.102,0.025,0,0
Contra Costa,2002,62,59.9,18.29,0.096,0.026,1,0
Contra Costa,2003,32,60.5,16.01,0.082,0.025,0,0
Contra Costa,2004,39,60.4,18.97,0.081,0.021,0,0
Contra Costa,2005,82,60.1,25.25,0.077,0.022,1,0
Contra Costa,2006,66,59.8,20.63,0.09,0.027,1,0
Contra Costa,2007,30,59.9,11.26,0.078,0.034,0,0
Contra Costa,2008,23,60.2,14.29,0.09,0.019,0,0
Contra Costa,2009,127,59.9,17.83,0.094,0.02,1,0
Contra Costa,2010,26,59,24.44,0.086,0.02,3,0
Contra Costa,2011,16,58.7,15.69,0.078,0.022,0,0
Contra Costa,2012,40,60.2,23.25,0.087,0.02,2,0
Contra Costa,2013,143,60.7,5.27,0.075,0.019,0,0
Contra Costa,2014,125,62.7,21.07,0.071,0.02,0,0
Contra Costa,2015,19,62,9.28,0.072,0.017,0,0
Contra Costa,2016,15,61.2,22.55,0.08,0.014,0,0
Contra Costa,2017,23,61.5,26.84,0.071,0.021,11,0
Contra Costa,2018,24,61,17.52,0.078,0.024,8,0
Contra Costa,2019,20,60.6,23.29,0.072,0.018,11,9
Contra Costa,2020,67,62.8,7.23,0.085,0.016,2,7
Fresno,2001,921,56.4,23.21,0.101,0.045,4,5
Fresno,2002,562,55.9,15.55,0.113,0.046,5,1
Fresno,2003,502,56.5,16.46,0.106,0.044,1,2
Fresno,2004,760,55.8,18.64,0.099,0.042,0,11
Fresno,2005,1250,55.7,24.86,0.091,0.041,9,11
Fresno,2006,998,55.5,23.48,0.097,0.037,3,15
Fresno,2007,1470,55.9,10.33,0.092,0.039,3,2
Fresno,2008,1540,56.2,16.06,0.112,0.035,2,11
Fresno,2009,1560,55.9,16.71,0.1,0.03,1,3
Fresno,2010,931,54.6,29.56,0.091,0.028,5,6
Fresno,2011,1210,54.3,17.62,0.104,0.033,19,3
Fresno,2012,437,56.7,16.34,0.108,0.032,7,2
Fresno,2013,786,56.8,5.29,0.094,0.039,0,4
Fresno,2014,2380,59,12.44,0.094,0.037,0,17
